| Type      | Value               | Line  | Column  | File
| EOL       |                     | 1     | 1       | 
| COMMENT   |  === Imports ===    | 2     | 20      | 
| EOL       |                     | 2     | 21      | 
| COMMENT   |  import core.math   | 3     | 20      | 
| EOL       |                     | 3     | 21      | 
| COMMENT   |  import system.ut...| 4     | 29      | 
| EOL       |                     | 4     | 30      | 
| EOL       |                     | 5     | 1       | 
| COMMENT   |  === Enum with va...| 6     | 29      | 
| EOL       |                     | 6     | 30      | 
| ENUM      | enum                | 7     | 1       | 
| IDENT     | Mode                | 7     | 10      | 
| LBRACE    | {                   | 7     | 11      | 
| EOL       |                     | 7     | 12      | 
| IDENT     | Start               | 8     | 9       | 
| ASSIGN    | =                   | 8     | 10      | 
| INTEGER   | 0                   | 8     | 13      | 
| SEMICOLON | ;                   | 8     | 13      | 
| EOL       |                     | 8     | 14      | 
| IDENT     | Run                 | 9     | 7       | 
| ASSIGN    | =                   | 9     | 8       | 
| INTEGER   | 1                   | 9     | 11      | 
| SEMICOLON | ;                   | 9     | 11      | 
| EOL       |                     | 9     | 12      | 
| IDENT     | Stop                | 10    | 8       | 
| ASSIGN    | =                   | 10    | 9       | 
| INTEGER   | 2                   | 10    | 12      | 
| SEMICOLON | ;                   | 10    | 12      | 
| EOL       |                     | 10    | 13      | 
| RBRACE    | }                   | 11    | 2       | 
| EOL       |                     | 11    | 3       | 
| EOL       |                     | 12    | 2       | 
| COMMENT   |  === Type with al...| 13    | 57      | 
| EOL       |                     | 13    | 58      | 
| TYPE      | type                | 14    | 1       | 
| IDENT     | Engine              | 14    | 12      | 
| LBRACE    | {                   | 14    | 13      | 
| EOL       |                     | 14    | 14      | 
| PUB       | pub                 | 15    | 4       | 
| IDENT     | id                  | 15    | 10      | 
| COLON     | :                   | 15    | 10      | 
| IDENT     | int                 | 15    | 15      | 
| SEMICOLON | ;                   | 15    | 15      | 
| EOL       |                     | 15    | 16      | 
| PRIV      | priv                | 16    | 4       | 
| IDENT     | name                | 16    | 13      | 
